Region,County,First Dose,Series Complete,Report as of
Finger Lakes,Seneca,18801,17505,01/02/2022
Southern Tier,Schuyler,10835,10001,01/02/2022
Mohawk Valley,Schoharie,18658,17611,01/02/2022
Capital Region,Schenectady,129150,118678,01/02/2022
Capital Region,Saratoga,180754,167442,01/02/2022
Mid-Hudson,Rockland,216535,193483,01/02/2022
New York City,Richmond,363465,328291,01/02/2022
Capital Region,Rensselaer,113141,104426,01/02/2022
New York City,Queens,2035382,1816956,01/02/2022
Mid-Hudson,Putnam,78387,69773,01/02/2022
Mohawk Valley,Otsego,38629,36017,01/02/2022
Central New York,Oswego,75432,70757,01/02/2022
Finger Lakes,Orleans,23279,21755,01/02/2022
Mid-Hudson,Orange,245723,221737,01/02/2022
Finger Lakes,Ontario,81485,76189,01/02/2022
Central New York,Onondaga,348218,319742,01/02/2022
Western New York,Allegany,22317,20667,01/02/2022
Mohawk Valley,Oneida,147979,136370,01/02/2022
Capital Region,Albany,238926,217393,01/02/2022
Western New York,Niagara,143623,133648,01/02/2022
New York City,New York,1484715,1290391,01/02/2022
Long Island,Nassau,1173343,1060048,01/02/2022
Mohawk Valley,Montgomery,33673,31404,01/02/2022
Finger Lakes,Monroe,549781,511040,01/02/2022
Central New York,Madison,52367,48647,01/02/2022
Finger Lakes,Livingston,38842,36500,01/02/2022
North Country,Lewis,13903,13100,01/02/2022
New York City,Kings,1909687,1698317,01/02/2022
North Country,Jefferson,71340,59456,01/02/2022
Mohawk Valley,Herkimer,35427,32932,01/02/2022
North Country,Hamilton,3446,3179,01/02/2022
Capital Region,Greene,30911,28057,01/02/2022
Finger Lakes,Genesee,36247,33935,01/02/2022
Mohawk Valley,Fulton,28916,26846,01/02/2022
North Country,Franklin,29494,27309,01/02/2022
North Country,Essex,26625,24761,01/02/2022
Western New York,Erie,676156,623916,01/02/2022
Mid-Hudson,Dutchess,217136,194614,01/02/2022
Southern Tier,Delaware,25377,23389,01/02/2022
Central New York,Cortland,28436,26660,01/02/2022
Capital Region,Columbia,44034,39979,01/02/2022
North Country,Clinton,56261,52572,01/02/2022
Southern Tier,Chenango,30039,27951,01/02/2022
Southern Tier,Chemung,47082,43912,01/02/2022
Western New York,Chautauqua,77675,70623,01/02/2022
Central New York,Cayuga,47690,44253,01/02/2022
Western New York,Cattaraugus,41988,38464,01/02/2022
Southern Tier,Broome,128495,119478,01/02/2022
Capital Region,Albany,238847,217306,01/01/2022
Finger Lakes,Yates,14107,13026,01/01/2022
Finger Lakes,Wyoming,22359,20920,01/01/2022
Mid-Hudson,Westchester,817347,729990,01/01/2022
Finger Lakes,Wayne,62534,58498,01/01/2022
Capital Region,Washington,40401,37775,01/01/2022
Capital Region,Warren,50457,46931,01/01/2022
Mid-Hudson,Ulster,140501,127839,01/01/2022
Southern Tier,Tompkins,81095,74884,01/01/2022
Southern Tier,Tioga,24688,23223,01/01/2022
Mid-Hudson,Sullivan,48093,43164,01/01/2022
Long Island,Suffolk,1161786,1049990,01/01/2022
Southern Tier,Steuben,53581,49985,01/01/2022
North Country,St. Lawrence,68239,63365,01/01/2022
Finger Lakes,Seneca,18800,17503,01/01/2022
Southern Tier,Schuyler,10830,10000,01/01/2022
Mohawk Valley,Schoharie,18654,17610,01/01/2022
Capital Region,Schenectady,129101,118639,01/01/2022
Capital Region,Saratoga,180721,167383,01/01/2022
Mid-Hudson,Rockland,216443,193392,01/01/2022
New York City,Richmond,363224,328056,01/01/2022
Capital Region,Rensselaer,113116,104368,01/01/2022
New York City,Queens,2033329,1815249,01/01/2022
Mid-Hudson,Putnam,78368,69759,01/01/2022
Mohawk Valley,Otsego,38621,36012,01/01/2022
Central New York,Oswego,75424,70736,01/01/2022
Finger Lakes,Orleans,23275,21749,01/01/2022
Mid-Hudson,Orange,245653,221667,01/01/2022
Finger Lakes,Ontario,81476,76185,01/01/2022
Central New York,Onondaga,348129,319643,01/01/2022
Mohawk Valley,Oneida,147952,136133,01/01/2022
Western New York,Niagara,143610,133641,01/01/2022
New York City,New York,1483876,1289823,01/01/2022
Long Island,Nassau,1172898,1059545,01/01/2022
Mohawk Valley,Montgomery,33665,31397,01/01/2022
Finger Lakes,Monroe,549747,511005,01/01/2022
Central New York,Madison,52360,48637,01/01/2022
Finger Lakes,Livingston,38839,36497,01/01/2022
North Country,Lewis,13896,13094,01/01/2022
New York City,Kings,1907736,1696847,01/01/2022
North Country,Jefferson,71321,59439,01/01/2022
Mohawk Valley,Herkimer,35421,32926,01/01/2022
North Country,Hamilton,3446,3179,01/01/2022
Capital Region,Greene,30908,28046,01/01/2022
Finger Lakes,Genesee,36239,33935,01/01/2022
Mohawk Valley,Fulton,28906,26842,01/01/2022
North Country,Franklin,29488,27307,01/01/2022
North Country,Essex,26623,24759,01/01/2022
Western New York,Erie,676057,623848,01/01/2022
Mid-Hudson,Dutchess,217097,194571,01/01/2022
Southern Tier,Delaware,25375,23386,01/01/2022
Central New York,Cortland,28433,26657,01/01/2022
Capital Region,Columbia,44025,39974,01/01/2022
North Country,Clinton,56254,52564,01/01/2022
Southern Tier,Chenango,30034,27948,01/01/2022
Southern Tier,Chemung,47079,43911,01/01/2022
Western New York,Chautauqua,77661,70598,01/01/2022
Central New York,Cayuga,47681,44250,01/01/2022
Western New York,Cattaraugus,41977,38458,01/01/2022
Southern Tier,Broome,128483,119463,01/01/2022
New York City,Bronx,1098491,956686,01/01/2022
Western New York,Allegany,22313,20667,01/01/2022
Mohawk Valley,Oneida,147929,136112,12/31/2021
Finger Lakes,Yates,14107,13026,12/31/2021
Finger Lakes,Wyoming,22358,20912,12/31/2021
Mid-Hudson,Westchester,817239,729907,12/31/2021
Finger Lakes,Wayne,62513,58476,12/31/2021
Capital Region,Washington,40389,37766,12/31/2021
Capital Region,Warren,50451,46925,12/31/2021
Mid-Hudson,Ulster,140486,127816,12/31/2021
Southern Tier,Tompkins,81084,74877,12/31/2021
Southern Tier,Tioga,24685,23222,12/31/2021
Mid-Hudson,Sullivan,48085,43155,12/31/2021
Long Island,Suffolk,1161607,1049809,12/31/2021
Southern Tier,Steuben,53563,49974,12/31/2021
North Country,St. Lawrence,68220,63349,12/31/2021
Finger Lakes,Seneca,18793,17500,12/31/2021
Southern Tier,Schuyler,10829,10000,12/31/2021
Mohawk Valley,Schoharie,18649,17603,12/31/2021
Capital Region,Schenectady,129077,118623,12/31/2021
Capital Region,Saratoga,180689,167360,12/31/2021
Mid-Hudson,Rockland,216390,193339,12/31/2021
New York City,Richmond,363154,328008,12/31/2021
Capital Region,Rensselaer,113089,104343,12/31/2021
New York City,Queens,2032913,1814912,12/31/2021
Mid-Hudson,Putnam,78346,69747,12/31/2021
Mohawk Valley,Otsego,38619,36003,12/31/2021
Central New York,Oswego,75412,70725,12/31/2021
Finger Lakes,Orleans,23268,21745,12/31/2021
Mid-Hudson,Orange,245572,221603,12/31/2021
Finger Lakes,Ontario,81458,76166,12/31/2021
Central New York,Onondaga,348075,319565,12/31/2021
Western New York,Niagara,143574,133602,12/31/2021
New York City,New York,1483592,1289695,12/31/2021
Long Island,Nassau,1172661,1059352,12/31/2021
Mohawk Valley,Montgomery,33657,31394,12/31/2021
Finger Lakes,Monroe,549657,510879,12/31/2021
Central New York,Madison,52349,48619,12/31/2021
Finger Lakes,Livingston,38824,36483,12/31/2021
North Country,Lewis,13893,13090,12/31/2021
New York City,Kings,1907276,1696580,12/31/2021
North Country,Jefferson,71307,59427,12/31/2021
Mohawk Valley,Herkimer,35417,32914,12/31/2021
North Country,Hamilton,3446,3178,12/31/2021
Capital Region,Greene,30903,28037,12/31/2021
Finger Lakes,Genesee,36234,33928,12/31/2021
Mohawk Valley,Fulton,28901,26833,12/31/2021
North Country,Franklin,29483,27303,12/31/2021
North Country,Essex,26620,24755,12/31/2021
Western New York,Erie,675945,623713,12/31/2021
Mid-Hudson,Dutchess,217064,194546,12/31/2021
Southern Tier,Delaware,25371,23381,12/31/2021
Central New York,Cortland,28424,26648,12/31/2021
Capital Region,Columbia,44020,39968,12/31/2021
North Country,Clinton,56243,52540,12/31/2021
Southern Tier,Chenango,30023,27940,12/31/2021
Southern Tier,Chemung,47073,43908,12/31/2021
Western New York,Chautauqua,77649,70575,12/31/2021
Central New York,Cayuga,47678,44248,12/31/2021
Western New York,Cattaraugus,41959,38449,12/31/2021
Southern Tier,Broome,128456,119429,12/31/2021
New York City,Bronx,1098367,956581,12/31/2021
Western New York,Allegany,22303,20663,12/31/2021
Capital Region,Albany,238809,217286,12/31/2021
Western New York,Allegany,22296,20652,12/30/2021
Finger Lakes,Yates,14104,13016,12/30/2021
Finger Lakes,Wyoming,22347,20904,12/30/2021
Mid-Hudson,Westchester,816522,729477,12/30/2021
Finger Lakes,Wayne,62470,58444,12/30/2021
Capital Region,Washington,40366,37734,12/30/2021
Capital Region,Warren,50430,46893,12/30/2021
Mid-Hudson,Ulster,140422,127768,12/30/2021
Southern Tier,Tompkins,81056,74860,12/30/2021
Southern Tier,Tioga,24662,23206,12/30/2021
Mid-Hudson,Sullivan,48053,43116,12/30/2021
Long Island,Suffolk,1160517,1049129,12/30/2021
Southern Tier,Steuben,53538,49951,12/30/2021
North Country,St. Lawrence,68186,63313,12/30/2021
Finger Lakes,Seneca,18785,17494,12/30/2021
Southern Tier,Schuyler,10818,9999,12/30/2021
Mohawk Valley,Schoharie,18636,17590,12/30/2021
Capital Region,Schenectady,128961,118544,12/30/2021
Capital Region,Saratoga,180588,167284,12/30/2021
Mid-Hudson,Rockland,216199,193256,12/30/2021
New York City,Richmond,362732,327729,12/30/2021
Capital Region,Rensselaer,113018,104288,12/30/2021
New York City,Queens,2030429,1813663,12/30/2021
Mid-Hudson,Putnam,78279,69703,12/30/2021
Mohawk Valley,Otsego,38594,35971,12/30/2021
Central New York,Oswego,75377,70705,12/30/2021
Finger Lakes,Orleans,23257,21740,12/30/2021
Mid-Hudson,Orange,245321,221447,12/30/2021
Finger Lakes,Ontario,81415,76133,12/30/2021
Central New York,Onondaga,347865,319386,12/30/2021
Capital Region,Albany,238636,217160,12/30/2021
Mohawk Valley,Oneida,147814,136026,12/30/2021
Western New York,Niagara,143455,133530,12/30/2021
New York City,New York,1482463,1289213,12/30/2021
Long Island,Nassau,1171580,1058566,12/30/2021
Mohawk Valley,Montgomery,33631,31385,12/30/2021
Finger Lakes,Monroe,549268,510558,12/30/2021
Central New York,Madison,52325,48597,12/30/2021
Finger Lakes,Livingston,38799,36471,12/30/2021
North Country,Lewis,13879,13089,12/30/2021
New York City,Kings,1905008,1695215,12/30/2021
North Country,Jefferson,71285,59391,12/30/2021
Mohawk Valley,Herkimer,35401,32898,12/30/2021
North Country,Hamilton,3446,3178,12/30/2021
Capital Region,Greene,30885,28031,12/30/2021
Finger Lakes,Genesee,36217,33905,12/30/2021
Mohawk Valley,Fulton,28877,26819,12/30/2021
North Country,Franklin,29476,27289,12/30/2021
North Country,Essex,26611,24747,12/30/2021
Western New York,Erie,675499,623276,12/30/2021
Mid-Hudson,Dutchess,216907,194453,12/30/2021
Southern Tier,Delaware,25345,23367,12/30/2021
Central New York,Cortland,28419,26643,12/30/2021
Capital Region,Columbia,43992,39946,12/30/2021
North Country,Clinton,56220,52514,12/30/2021
Southern Tier,Chenango,29996,27892,12/30/2021
Southern Tier,Chemung,47050,43887,12/30/2021
Western New York,Chautauqua,77564,70515,12/30/2021
Central New York,Cayuga,47651,44228,12/30/2021
Western New York,Cattaraugus,41924,38430,12/30/2021
Southern Tier,Broome,128331,119304,12/30/2021
New York City,Bronx,1097192,956042,12/30/2021
Mohawk Valley,Schoharie,18621,17584,12/29/2021
Finger Lakes,Yates,14086,13003,12/29/2021
Finger Lakes,Wyoming,22322,20882,12/29/2021
Mid-Hudson,Westchester,815285,728746,12/29/2021
Finger Lakes,Wayne,62399,58363,12/29/2021
Capital Region,Washington,40304,37695,12/29/2021
Capital Region,Warren,50365,46815,12/29/2021
Mid-Hudson,Ulster,140294,127681,12/29/2021
Southern Tier,Tompkins,80980,74820,12/29/2021
Southern Tier,Tioga,24631,23184,12/29/2021
Mid-Hudson,Sullivan,47965,43076,12/29/2021
Long Island,Suffolk,1159076,1048295,12/29/2021
Southern Tier,Steuben,53456,49875,12/29/2021
North Country,St. Lawrence,68131,63254,12/29/2021
Finger Lakes,Seneca,18765,17482,12/29/2021
Southern Tier,Schuyler,10802,9987,12/29/2021
Capital Region,Schenectady,128812,118438,12/29/2021
Capital Region,Saratoga,180348,167106,12/29/2021
Mid-Hudson,Rockland,215908,193009,12/29/2021
New York City,Richmond,361825,327287,12/29/2021
Capital Region,Rensselaer,112839,104212,12/29/2021
New York City,Queens,2025335,1811268,12/29/2021
Mid-Hudson,Putnam,78181,69644,12/29/2021
Mohawk Valley,Otsego,38564,35944,12/29/2021
Central New York,Oswego,75279,70649,12/29/2021
Finger Lakes,Orleans,23228,21717,12/29/2021
Mid-Hudson,Orange,244991,221212,12/29/2021
Finger Lakes,Ontario,81345,76025,12/29/2021
Central New York,Onondaga,347482,319102,12/29/2021
Mohawk Valley,Oneida,147673,135873,12/29/2021
Western New York,Niagara,143297,133406,12/29/2021
New York City,New York,1479678,1288015,12/29/2021
Long Island,Nassau,1169473,1057424,12/29/2021
Mohawk Valley,Montgomery,33599,31362,12/29/2021
Finger Lakes,Monroe,548649,510057,12/29/2021
Central New York,Madison,52288,48563,12/29/2021
Finger Lakes,Livingston,38752,36433,12/29/2021
North Country,Lewis,13871,13074,12/29/2021
New York City,Kings,1900210,1692500,12/29/2021
North Country,Jefferson,71193,59320,12/29/2021
Mohawk Valley,Herkimer,35367,32867,12/29/2021
North Country,Hamilton,3444,3177,12/29/2021
Capital Region,Greene,30829,27989,12/29/2021
Finger Lakes,Genesee,36195,33886,12/29/2021
Mohawk Valley,Fulton,28836,26802,12/29/2021
North Country,Franklin,29452,27251,12/29/2021
North Country,Essex,26597,24720,12/29/2021
Western New York,Erie,674525,622570,12/29/2021
Mid-Hudson,Dutchess,216609,194244,12/29/2021
Southern Tier,Delaware,25322,23357,12/29/2021
Central New York,Cortland,28376,26616,12/29/2021
Capital Region,Columbia,43949,39923,12/29/2021
North Country,Clinton,56177,52438,12/29/2021
Southern Tier,Chenango,29964,27879,12/29/2021
Southern Tier,Chemung,46953,43810,12/29/2021
Western New York,Chautauqua,77478,70456,12/29/2021
Central New York,Cayuga,47598,44172,12/29/2021
Western New York,Cattaraugus,41886,38396,12/29/2021
Southern Tier,Broome,128112,119179,12/29/2021
New York City,Bronx,1093644,954408,12/29/2021
Western New York,Allegany,22283,20637,12/29/2021
Capital Region,Albany,238294,216961,12/29/2021
Capital Region,Albany,238050,216800,12/28/2021
Finger Lakes,Yates,14060,12977,12/28/2021
Finger Lakes,Wyoming,22282,20864,12/28/2021
Mid-Hudson,Westchester,813989,728065,12/28/2021
Finger Lakes,Wayne,62330,58306,12/28/2021
Capital Region,Washington,40261,37652,12/28/2021
Capital Region,Warren,50322,46756,12/28/2021
Mid-Hudson,Ulster,140055,127469,12/28/2021
Southern Tier,Tompkins,80891,74772,12/28/2021
Southern Tier,Tioga,24603,23163,12/28/2021
Mid-Hudson,Sullivan,47906,43043,12/28/2021
Long Island,Suffolk,1157267,1047077,12/28/2021
Southern Tier,Steuben,53374,49820,12/28/2021
North Country,St. Lawrence,68049,63181,12/28/2021
Finger Lakes,Seneca,18747,17439,12/28/2021
Southern Tier,Schuyler,10796,9981,12/28/2021
Mohawk Valley,Schoharie,18597,17570,12/28/2021
Capital Region,Schenectady,128659,118350,12/28/2021
Capital Region,Saratoga,180159,166979,12/28/2021
Mid-Hudson,Rockland,215639,192802,12/28/2021
New York City,Richmond,360955,326782,12/28/2021
Capital Region,Rensselaer,112707,104102,12/28/2021
New York City,Queens,2019398,1808482,12/28/2021
Mid-Hudson,Putnam,78062,69566,12/28/2021
Mohawk Valley,Otsego,38522,35909,12/28/2021
Central New York,Oswego,75210,70615,12/28/2021
Finger Lakes,Orleans,23213,21696,12/28/2021
Mid-Hudson,Orange,244579,220979,12/28/2021
Finger Lakes,Ontario,81195,75961,12/28/2021
Central New York,Onondaga,347092,318866,12/28/2021
Mohawk Valley,Oneida,147503,135758,12/28/2021
Western New York,Niagara,143146,133305,12/28/2021
New York City,New York,1476735,1286758,12/28/2021
Long Island,Nassau,1167256,1056190,12/28/2021
Mohawk Valley,Montgomery,33548,31322,12/28/2021
Finger Lakes,Monroe,548001,509572,12/28/2021
Central New York,Madison,52248,48535,12/28/2021
Finger Lakes,Livingston,38714,36390,12/28/2021
North Country,Lewis,13863,13059,12/28/2021
New York City,Kings,1895045,1689529,12/28/2021
North Country,Jefferson,71114,59260,12/28/2021
Mohawk Valley,Herkimer,35336,32830,12/28/2021
North Country,Hamilton,3441,3175,12/28/2021
Capital Region,Greene,30810,27968,12/28/2021
Finger Lakes,Genesee,36135,33854,12/28/2021
Mohawk Valley,Fulton,28808,26777,12/28/2021
North Country,Franklin,29435,27209,12/28/2021
North Country,Essex,26557,24700,12/28/2021
Western New York,Erie,673539,621885,12/28/2021
Mid-Hudson,Dutchess,216298,194048,12/28/2021
Southern Tier,Delaware,25298,23337,12/28/2021
Central New York,Cortland,28339,26592,12/28/2021
Capital Region,Columbia,43914,39904,12/28/2021
North Country,Clinton,56105,52373,12/28/2021
Southern Tier,Chenango,29925,27837,12/28/2021
Southern Tier,Chemung,46875,43732,12/28/2021
Western New York,Chautauqua,77374,70394,12/28/2021
Central New York,Cayuga,47571,44130,12/28/2021
Western New York,Cattaraugus,41833,38380,12/28/2021
Southern Tier,Broome,127946,119095,12/28/2021
New York City,Bronx,1090030,952752,12/28/2021
Western New York,Allegany,22200,20611,12/28/2021
Southern Tier,Chenango,29905,27822,12/27/2021
Finger Lakes,Yates,14054,12974,12/27/2021
Finger Lakes,Wyoming,22228,20814,12/27/2021
Mid-Hudson,Westchester,812287,727100,12/27/2021
Finger Lakes,Wayne,62285,58246,12/27/2021
Capital Region,Washington,40192,37581,12/27/2021
Capital Region,Warren,50239,46609,12/27/2021
Mid-Hudson,Ulster,139942,127404,12/27/2021
Southern Tier,Tompkins,80844,74742,12/27/2021
Southern Tier,Tioga,24575,23143,12/27/2021
Mid-Hudson,Sullivan,47852,43008,12/27/2021
Long Island,Suffolk,1155715,1046220,12/27/2021
Southern Tier,Steuben,53320,49755,12/27/2021
North Country,St. Lawrence,67936,63104,12/27/2021
Finger Lakes,Seneca,18707,17425,12/27/2021
Southern Tier,Schuyler,10785,9975,12/27/2021
Mohawk Valley,Schoharie,18571,17558,12/27/2021
Capital Region,Schenectady,128462,118219,12/27/2021
Capital Region,Saratoga,179932,166781,12/27/2021
Mid-Hudson,Rockland,215321,192619,12/27/2021
New York City,Richmond,359890,326289,12/27/2021
Capital Region,Rensselaer,112546,103996,12/27/2021
New York City,Queens,2013738,1805619,12/27/2021
Mid-Hudson,Putnam,77911,69477,12/27/2021
Mohawk Valley,Otsego,38496,35868,12/27/2021
Central New York,Oswego,75154,70563,12/27/2021
Finger Lakes,Orleans,23199,21678,12/27/2021
Mid-Hudson,Orange,244196,220707,12/27/2021
Finger Lakes,Ontario,81114,75919,12/27/2021
Central New York,Onondaga,346715,318605,12/27/2021
Mohawk Valley,Oneida,147293,135652,12/27/2021
Western New York,Niagara,142949,133162,12/27/2021
New York City,New York,1473571,1285484,12/27/2021
Long Island,Nassau,1165120,1054991,12/27/2021
Mohawk Valley,Montgomery,33516,31302,12/27/2021
Finger Lakes,Monroe,547418,508989,12/27/2021
Central New York,Madison,52199,48506,12/27/2021
Finger Lakes,Livingston,38679,36361,12/27/2021
North Country,Lewis,13855,13046,12/27/2021
New York City,Kings,1889447,1686923,12/27/2021
North Country,Jefferson,71039,59199,12/27/2021
Mohawk Valley,Herkimer,35300,32797,12/27/2021
North Country,Hamilton,3438,3175,12/27/2021
Capital Region,Greene,30789,27954,12/27/2021
Finger Lakes,Genesee,36105,33828,12/27/2021
Mohawk Valley,Fulton,28767,26750,12/27/2021
North Country,Franklin,29405,27179,12/27/2021
North Country,Essex,26524,24665,12/27/2021
Western New York,Erie,672723,621246,12/27/2021
Mid-Hudson,Dutchess,215995,193861,12/27/2021
Southern Tier,Delaware,25279,23324,12/27/2021
Central New York,Cortland,28293,26564,12/27/2021
Capital Region,Columbia,43857,39877,12/27/2021
North Country,Clinton,56057,52321,12/27/2021
Southern Tier,Chemung,46817,43702,12/27/2021
Western New York,Chautauqua,77269,70286,12/27/2021
Central New York,Cayuga,47533,44106,12/27/2021
Western New York,Cattaraugus,41786,38342,12/27/2021
Southern Tier,Broome,127787,118995,12/27/2021
New York City,Bronx,1085964,950874,12/27/2021
Western New York,Allegany,22182,20587,12/27/2021
Capital Region,Albany,237789,216612,12/27/2021
New York City,Bronx,1081985,948959,12/26/2021
Finger Lakes,Yates,14025,12961,12/26/2021
Finger Lakes,Wyoming,22210,20803,12/26/2021
Mid-Hudson,Westchester,810987,726237,12/26/2021
Finger Lakes,Wayne,62242,58188,12/26/2021
Capital Region,Washington,40159,37539,12/26/2021
Capital Region,Warren,50219,46574,12/26/2021
Mid-Hudson,Ulster,139813,127243,12/26/2021
Southern Tier,Tompkins,80782,74705,12/26/2021
Southern Tier,Tioga,24562,23136,12/26/2021
Mid-Hudson,Sullivan,47786,42950,12/26/2021
Long Island,Suffolk,1154449,1045460,12/26/2021
Southern Tier,Steuben,53255,49707,12/26/2021
North Country,St. Lawrence,67838,63005,12/26/2021
Finger Lakes,Seneca,18705,17415,12/26/2021
Southern Tier,Schuyler,10776,9965,12/26/2021
Capital Region,Albany,237538,216422,12/26/2021
Mohawk Valley,Schoharie,18563,17546,12/26/2021
Capital Region,Schenectady,128326,118121,12/26/2021
Capital Region,Saratoga,179789,166663,12/26/2021
Mid-Hudson,Rockland,215046,192473,12/26/2021
New York City,Richmond,358883,325852,12/26/2021
Capital Region,Rensselaer,112447,103938,12/26/2021
New York City,Queens,2008497,1802619,12/26/2021
Mid-Hudson,Putnam,77783,69404,12/26/2021
Mohawk Valley,Otsego,38477,35854,12/26/2021
Central New York,Oswego,75086,70516,12/26/2021
Finger Lakes,Orleans,23182,21668,12/26/2021
Mid-Hudson,Orange,243903,220523,12/26/2021
Finger Lakes,Ontario,81060,75872,12/26/2021
Central New York,Onondaga,346369,318317,12/26/2021
Mohawk Valley,Oneida,147156,135543,12/26/2021
Western New York,Niagara,142848,133082,12/26/2021
New York City,New York,1471094,1284248,12/26/2021
Long Island,Nassau,1163402,1053869,12/26/2021
Mohawk Valley,Montgomery,33493,31282,12/26/2021
Finger Lakes,Monroe,547027,508640,12/26/2021
Central New York,Madison,52163,48460,12/26/2021
Finger Lakes,Livingston,38641,36341,12/26/2021
North Country,Lewis,13840,13030,12/26/2021
New York City,Kings,1883957,1684263,12/26/2021
North Country,Jefferson,70952,59095,12/26/2021
Mohawk Valley,Herkimer,35275,32774,12/26/2021
North Country,Hamilton,3437,3174,12/26/2021
Capital Region,Greene,30752,27928,12/26/2021
Finger Lakes,Genesee,36086,33814,12/26/2021
Mohawk Valley,Fulton,28735,26729,12/26/2021
North Country,Franklin,29380,27159,12/26/2021
North Country,Essex,26490,24631,12/26/2021
Western New York,Erie,672132,620716,12/26/2021
Mid-Hudson,Dutchess,215753,193686,12/26/2021
Southern Tier,Delaware,25273,23317,12/26/2021
Central New York,Cortland,28260,26509,12/26/2021
Capital Region,Columbia,43812,39855,12/26/2021
Western New York,Allegany,22172,20575,12/26/2021
North Country,Clinton,56015,52275,12/26/2021
Southern Tier,Chenango,29895,27809,12/26/2021
Southern Tier,Chemung,46753,43628,12/26/2021
Western New York,Chautauqua,77214,70206,12/26/2021
Central New York,Cayuga,47496,44061,12/26/2021
Western New York,Cattaraugus,41751,38313,12/26/2021
Southern Tier,Broome,127714,118937,12/26/2021
Western New York,Niagara,142840,133068,12/25/2021
Finger Lakes,Yates,14023,12960,12/25/2021
Finger Lakes,Wyoming,22209,20800,12/25/2021
Mid-Hudson,Westchester,810751,726012,12/25/2021
Finger Lakes,Wayne,62232,58182,12/25/2021
Capital Region,Washington,40156,37535,12/25/2021
Capital Region,Warren,50217,46563,12/25/2021
Mid-Hudson,Ulster,139806,127223,12/25/2021
Southern Tier,Tompkins,80768,74699,12/25/2021
Southern Tier,Tioga,24558,23133,12/25/2021
Mid-Hudson,Sullivan,47780,42947,12/25/2021
Long Island,Suffolk,1154090,1045055,12/25/2021
Southern Tier,Steuben,53250,49698,12/25/2021
North Country,St. Lawrence,67829,62994,12/25/2021
Finger Lakes,Seneca,18703,17415,12/25/2021
Southern Tier,Schuyler,10775,9965,12/25/2021
Mohawk Valley,Schoharie,18562,17545,12/25/2021
Capital Region,Schenectady,128292,118045,12/25/2021
Capital Region,Saratoga,179759,166599,12/25/2021
Mid-Hudson,Rockland,214961,192362,12/25/2021
New York City,Richmond,358539,325666,12/25/2021
Capital Region,Rensselaer,112432,103910,12/25/2021
New York City,Queens,2006183,1801123,12/25/2021
Mid-Hudson,Putnam,77762,69385,12/25/2021
Mohawk Valley,Otsego,38473,35852,12/25/2021
Central New York,Oswego,75076,70505,12/25/2021
Finger Lakes,Orleans,23182,21666,12/25/2021
Mid-Hudson,Orange,243864,220460,12/25/2021
Finger Lakes,Ontario,81054,75863,12/25/2021
Central New York,Onondaga,346305,318207,12/25/2021
Mohawk Valley,Oneida,147120,135506,12/25/2021
New York City,New York,1470139,1283848,12/25/2021
Long Island,Nassau,1162949,1053361,12/25/2021
Mohawk Valley,Montgomery,33488,31277,12/25/2021
Finger Lakes,Monroe,546991,508574,12/25/2021
Central New York,Madison,52156,48449,12/25/2021
Finger Lakes,Livingston,38632,36336,12/25/2021
North Country,Lewis,13836,13028,12/25/2021
New York City,Kings,1881771,1683172,12/25/2021
North Country,Jefferson,70936,59070,12/25/2021
Mohawk Valley,Herkimer,35267,32767,12/25/2021
North Country,Hamilton,3437,3174,12/25/2021
Capital Region,Greene,30745,27925,12/25/2021
Finger Lakes,Genesee,36083,33811,12/25/2021
Mohawk Valley,Fulton,28730,26725,12/25/2021
North Country,Franklin,29377,27150,12/25/2021
North Country,Essex,26487,24627,12/25/2021
Western New York,Erie,672057,620608,12/25/2021
Mid-Hudson,Dutchess,215736,193675,12/25/2021
Southern Tier,Delaware,25271,23314,12/25/2021
Central New York,Cortland,28260,26505,12/25/2021
Capital Region,Columbia,43806,39849,12/25/2021
North Country,Clinton,56010,52264,12/25/2021
Southern Tier,Chenango,29893,27807,12/25/2021
Southern Tier,Chemung,46753,43627,12/25/2021
Western New York,Chautauqua,77201,70182,12/25/2021
Central New York,Cayuga,47493,44050,12/25/2021
Western New York,Cattaraugus,41746,38310,12/25/2021
Southern Tier,Broome,127696,118926,12/25/2021
New York City,Bronx,1081285,948561,12/25/2021
Western New York,Allegany,22172,20575,12/25/2021
Capital Region,Albany,237489,216329,12/25/2021
Mohawk Valley,Oneida,147095,135447,12/24/2021
Finger Lakes,Yates,14021,12958,12/24/2021
Finger Lakes,Wyoming,22209,20799,12/24/2021
Mid-Hudson,Westchester,810536,725936,12/24/2021
Finger Lakes,Wayne,62229,58175,12/24/2021
Capital Region,Washington,40153,37532,12/24/2021
Capital Region,Warren,50212,46561,12/24/2021
Mid-Hudson,Ulster,139790,127216,12/24/2021
Southern Tier,Tompkins,80762,74697,12/24/2021
Southern Tier,Tioga,24557,23130,12/24/2021
Mid-Hudson,Sullivan,47775,42946,12/24/2021
Long Island,Suffolk,1153952,1044946,12/24/2021
Southern Tier,Steuben,53249,49696,12/24/2021
North Country,St. Lawrence,67828,62994,12/24/2021
Finger Lakes,Seneca,18703,17412,12/24/2021
Southern Tier,Schuyler,10775,9965,12/24/2021
Mohawk Valley,Schoharie,18561,17544,12/24/2021
Capital Region,Schenectady,128285,118039,12/24/2021
