Region,County,First Dose,Series Complete,Report as of
Mohawk Valley,Oneida,158021,146649,03/21/2023
Finger Lakes,Yates,14853,13866,03/21/2023
Finger Lakes,Wyoming,23577,22298,03/21/2023
Mid-Hudson,Westchester,895631,804474,03/21/2023
Finger Lakes,Wayne,66250,62399,03/21/2023
Capital Region,Washington,42219,40100,03/21/2023
Capital Region,Warren,52757,49713,03/21/2023
Mid-Hudson,Ulster,149739,136943,03/21/2023
Southern Tier,Tompkins,90476,82175,03/21/2023
Southern Tier,Tioga,25891,24501,03/21/2023
Mid-Hudson,Sullivan,51789,46822,03/21/2023
Long Island,Suffolk,1253214,1137403,03/21/2023
Southern Tier,Steuben,56664,53214,03/21/2023
North Country,St. Lawrence,75289,69897,03/21/2023
Finger Lakes,Seneca,19831,18566,03/21/2023
Southern Tier,Schuyler,11387,10544,03/21/2023
Mohawk Valley,Schoharie,19615,18552,03/21/2023
Capital Region,Schenectady,137826,127275,03/21/2023
Capital Region,Saratoga,190698,177827,03/21/2023
Mid-Hudson,Rockland,235812,211633,03/21/2023
New York City,Richmond,395812,362987,03/21/2023
Capital Region,Rensselaer,120740,111535,03/21/2023
New York City,Queens,2234596,2004812,03/21/2023
Mid-Hudson,Putnam,84279,75493,03/21/2023
Mohawk Valley,Otsego,40963,38261,03/21/2023
Central New York,Oswego,80277,75499,03/21/2023
Finger Lakes,Orleans,24595,23143,03/21/2023
Mid-Hudson,Orange,268102,243591,03/21/2023
Finger Lakes,Ontario,86208,80963,03/21/2023
Central New York,Onondaga,373882,343241,03/21/2023
Western New York,Niagara,152344,142957,03/21/2023
New York City,New York,1673801,1429640,03/21/2023
Long Island,Nassau,1264529,1151449,03/21/2023
Mohawk Valley,Montgomery,35708,33687,03/21/2023
Finger Lakes,Monroe,593399,552371,03/21/2023
Central New York,Madison,55088,51500,03/21/2023
Finger Lakes,Livingston,40847,38657,03/21/2023
North Country,Lewis,14603,13879,03/21/2023
New York City,Kings,2126864,1914452,03/21/2023
North Country,Jefferson,76599,64326,03/21/2023
Mohawk Valley,Herkimer,37335,34988,03/21/2023
North Country,Hamilton,3569,3305,03/21/2023
Capital Region,Greene,32706,29744,03/21/2023
Finger Lakes,Genesee,38185,36042,03/21/2023
Mohawk Valley,Fulton,30515,28745,03/21/2023
North Country,Franklin,31533,29468,03/21/2023
North Country,Essex,28105,26214,03/21/2023
Western New York,Erie,724502,672361,03/21/2023
Mid-Hudson,Dutchess,234596,211034,03/21/2023
Southern Tier,Delaware,26896,24901,03/21/2023
Central New York,Cortland,30137,28433,03/21/2023
Capital Region,Columbia,46532,42395,03/21/2023
North Country,Clinton,60150,56301,03/21/2023
Southern Tier,Chenango,31639,29771,03/21/2023
Southern Tier,Chemung,50031,46925,03/21/2023
Western New York,Chautauqua,82792,76220,03/21/2023
Central New York,Cayuga,50337,47038,03/21/2023
Western New York,Cattaraugus,44465,41214,03/21/2023
Southern Tier,Broome,136927,127472,03/21/2023
New York City,Bronx,1239148,1099636,03/21/2023
Western New York,Allegany,23829,22220,03/21/2023
Capital Region,Albany,257441,234240,03/21/2023
New York City,Bronx,1239041,1099573,03/20/2023
Finger Lakes,Yates,14853,13865,03/20/2023
Finger Lakes,Wyoming,23575,22298,03/20/2023
Mid-Hudson,Westchester,895591,804447,03/20/2023
Finger Lakes,Wayne,66250,62399,03/20/2023
Capital Region,Washington,42217,40100,03/20/2023
Capital Region,Warren,52757,49713,03/20/2023
Mid-Hudson,Ulster,149735,136941,03/20/2023
Southern Tier,Tompkins,90469,82171,03/20/2023
Southern Tier,Tioga,25891,24500,03/20/2023
Mid-Hudson,Sullivan,51789,46820,03/20/2023
Long Island,Suffolk,1253158,1137370,03/20/2023
Southern Tier,Steuben,56661,53212,03/20/2023
North Country,St. Lawrence,75289,69895,03/20/2023
Finger Lakes,Seneca,19831,18566,03/20/2023
Southern Tier,Schuyler,11387,10544,03/20/2023
Mohawk Valley,Schoharie,19614,18550,03/20/2023
Capital Region,Schenectady,137812,127272,03/20/2023
Capital Region,Saratoga,190694,177824,03/20/2023
Mid-Hudson,Rockland,235799,211628,03/20/2023
New York City,Richmond,395795,362977,03/20/2023
Capital Region,Rensselaer,120739,111532,03/20/2023
New York City,Queens,2234485,2004731,03/20/2023
Mid-Hudson,Putnam,84278,75492,03/20/2023
Mohawk Valley,Otsego,40963,38261,03/20/2023
Central New York,Oswego,80273,75496,03/20/2023
Finger Lakes,Orleans,24595,23142,03/20/2023
Mid-Hudson,Orange,268092,243582,03/20/2023
Finger Lakes,Ontario,86207,80962,03/20/2023
Central New York,Onondaga,373869,343230,03/20/2023
Western New York,Allegany,23828,22220,03/20/2023
Mohawk Valley,Oneida,158016,146641,03/20/2023
Capital Region,Albany,257421,234231,03/20/2023
Western New York,Niagara,152340,142952,03/20/2023
New York City,New York,1673660,1429569,03/20/2023
Long Island,Nassau,1264489,1151422,03/20/2023
Mohawk Valley,Montgomery,35708,33684,03/20/2023
